text,label
measurement of the average $\phi$ multiplicity in $b$ meson decay,5
anisotropic multiple bounce models,6
rutile geo2: an ultrawidebandgap semiconductor with ambipolar doping,19
multistep fermi normal coordinates,6
non(anti) commutativity for open superstrings,10
nonequilibrium equation of state in stellar atmospheres,18
multioverlap simulations for transitions between reference configurations,17
the albedo-color diversity of transneptunian objects,11
substratesupported triplet superconductivity in dirac semimetals,2
photon hbt interferometry for noncentral heavy-ion collisions,14
band-gap engineering at a semiconductor - crystalline oxide interface,19
nondegenerate light quark masses from 2+1f lattice qcd+qed,16
interstellar h$_2$o masers from j shocks,9
nonequilibrium physics aspects of probabilistic cellular automata,17
spin waves in quantum antiferromagnets,4
relativistic microscopic description of protonnucleus scattering at intermediate energies,14
new phase transition in polymer solutions with multicomponent solvent,7
hybrid molecular dynamics for lattice supersymmetry,16
mechanical properties of superhard boron subnitride b13n2,19
influence of intermartensitic transitions on transport properties of ni2.16mn0.84ga alloy,19
scuba-2 overdensities associated with candidate protoclusters selected from planck data,9
cosmic rays: extragalactic and galactic,13
time-dependent density-functional theory for ultrafast interband excitations,8
agn jets under the microscope: a divide?,1
ellipsoidal particles at fluid interfaces,7
study of besiii trigger efficiencies with the 2018 $j/\psi$ data,5
the nuclear window to the extragalactic universe,13
no transit timing variations in wasp-4,11
"ads_2/cft_1, canonical transformations and superconformal mechanics",10
b_k with two flavors of dynamical overlap fermions,16
on the supersymmetry of nonbps d-brane,10
ultrathin and multicolor optical cavities with embedded metasurfaces,12
perturbation theory trispectrum in the time renormalisation approach,1
nonexotic wormholes in 4-d einstein-gauss-bonnet gravity,6
lattice dynamics and electron-phonon coupling calculations using nondiagonal supercells,19
are ultracompact minihalos really ultracompact?,1
spin oscillations in antiferromagnetic nio triggered by circularly polarized light,0
"antibrackets, supersymmetric $\sigma$-model and localization",10
automorphisms in loop quantum gravity,6
nonabelian gauge groups and hypermultiplets in projective superspaces,10
the triple pomeron interaction in the perturbative qcd,3
superconductorinsulator transition in disordered josephson junction chains,2
ultrafast separation of photo-doped carriers in mott antiferromagnets,0
type-i superconductivity in al$_6$re,2
semianalytical design of antireflection gratings for photonic crystals,12
protoplanetary disk resonances and type i migration,11
supersample covariance in simulations,1
higher-order multipole amplitude measurement in $\psi(2s)\to\gamma\chi_{c2}$,5
phonon-mediated superconductivity in doped monolayer materials,2
special supernova signature from bh-ns/bh progenitor systems,13
