text,label
some properties of isoclinism in lie superalgebras,5
cartan subalgebras of operator ideals,6
solving systems of multiterm fractional pdes: invariant subspace approach,19
uniqueness of group-measure space cartan subalgebras,6
qualitative uncertainty principle for gabor transform,10
computing twists of hyperelliptic curves,18
urbanik type subclasses of the free-infinitely divisible transforms,17
the julia-wolff-caratheodory theorem in polydisks,11
minimal nonoddtransversal hypergraphs and minimal nonoddbipartite hypergraphs,2
on decentralized minimax control with nested subsystems,14
positive or sign-changing solutions for a critical semilinear nonlocal equation,19
smooth maps compatible with simplicial structures and inverse images,16
stable theories and representation over sets,9
collapse transition of the interacting prudent walk,17
minimality of invariant submanifolds in metric contact pair geometry,4
towards resilient operation of multimicrogrids: an misocpbased frequency-constrained approach,14
the kauffman polynomial and trivalent graphs,7
"topology of the gr\""unbaum-hadwiger-ramos hyperplane mass partition problem",16
subordination principles for the multidimensional space-time-fractional diffusion-wave equation,19
nonlinear second-order periodic systems with nonsmooth potential,19
transseries and todorov-vernaeve's asymptotic fields,9
quasi-isometry classification of raags that split over cyclic subgroups,13
hyperbolic polygonal billiards with finitely many ergodic srb measures,8
rational combinations of betti diagrams of complete intersections,1
regenerating hyperbolic cone structures from nil,7
nonalternating hamiltonian lie algebras in three variables,5
on presentations of brauer-type monoids,13
analytic continuation of generalized trigonometric functions,11
geometric interpretation of murphy bases and an application,10
the combinatorics of steenrod operations on the cohomology of grassmannians,16
an orthogonality relation for spherical characters of supercuspidal representations,10
polynomials on schreier's space,12
conjugacy classes and invariant subrings of r-automorphisms of r[x],1
l^2-cohomology for von neumann algebras,6
"interior and boundary regularity results for strongly nonhomogeneous $p,q$-fractional problems",19
translates of polynomials,1
improving estimates for discrete polynomial averages,0
minimal idempotents on solvable groups,10
classifying $c^*$-algebras with both finite and infinite subquotients,6
restricting admissible representations to fixed-point subgroups,10
a characterization of the overcoherence,3
hereditary semiorders and enumeration of semiorders by dimension,2
sparse bounds for maximal monomial oscillatory hilbert transforms,0
treelike families of multiweights,2
subadditive inequalities for operators,12
characterizing isolated singularities of conformal hyperbolic metrics,11
"multigraded regularity, reduction vectors and postulation vectors",1
a note on braided $t$-categories over monoidal hom-hopf algebras,5
higgledy-piggledy subspaces and uniform subspace designs,2
analysis of a certain polycyclicgroupbased cryptosystem,13
existence of multisolitons for the focusing logarithmic nonlinear schrodinger equation,19
rbf interpolation with csrbf of large data sets,15
regularity of polynomials in free variables,6
noncompact einstein manifolds with symmetry,4
"wilson theorems for double-, hyper, sub and superfactorials",18
regularity of fixed-point vertex operator subalgebras,10
efficient modified jacobi-bernstein basis transformations,15
on the cr transversality of holomorphic maps into hyperquadrics,11
b-spline normal multiscale transforms for planar curves,15
unstable higher toda brackets,16
a multilevel correction method for interior transmission eigenvalue problem,15
"on ""a homogeneous interiorpoint algorithm for nonsymmetric convex conic optimization""",14
topological transformation groups,16
cofinite submodule closed categories and the weyl group,10
q-gorenstein deformations of nonnormal surfaces,3
a counterintuitive example in inventory management,14
uniform sample generation in semialgebraic sets,14
chang's conjecture and semiproperness of nonreasonable posets,9
multipliers and hereditary subalgebras of operator algebras,6
commensurators of cusped hyperbolic manifolds,7
affine hypersurfaces admitting a pointwise symmetry,4
invariant multigraphs in step skew-products,8
on the jones polynomial of quasi-alternating links,7
transfinite thin plate spline interpolation,15
on extended associative semigroups,5
symmetric lie models of a triangle,16
locality and domination of semigroups,12
on elliptic factors in real endoscopic transfer i,10
nonarchimedean meromorphic solutions of functional equations,11
noncommutative partial convexity via $\gamma$-convexity,12
discontinuous galerkin methods for mass transfer through semipermeable membranes,15
quasisymmetrically inequivalent hyperbolic julia sets,8
on monogenic reproducing kernel hilbert spaces of the paley-wiener type,11
a topological characterisation of endomorphism monoids of countable structures,9
on semilinear representations of the infinite symmetric group,10
on multilinear determinant functionals,0
counting interesting elections,2
boundedness of semilinear duffing equations at resonance with oscillating nonlinearities,8
triple massey products in galois cohomology,5
type a blocks of super category o,10
"lubin-tate theory, character theory, and power operations",16
semiregular masas of transfinite length,6
the behavior of $\pi$-submaximal subgroups under homomorphisms with $\pi$-separable kernels,13
the symmetrization problem for multiple orthogonal polynomials,0
construction of analysis-suitable $g^1$ planar multipatch parameterizations,15
evolution of contractions between noncompact manifolds,4
on automorphisms of quasi-smooth weighted complete intersections,3
the nonparabolicity of infinite volume ends,4
which multiplication operators are surjective isometries?,12
semiclassical quantum maps of semihyperbolic type,19
