text,label
exploring interactions with voice-controlled tv,14
feedback motion planning for liquid transfer using supervised learning,15
submodularization for quadratic pseudoboolean optimization,12
automata techniques for epistemic protocol synthesis,4
neurec: on nonlinear transformation for personalized ranking,7
multipass streaming algorithms for monotone submodular function maximization,11
understanding interpretability by generalized distillation in supervised classification,1
multiobjective nonparametric sequential prediction,1
understanding the internet topology evolution dynamics,9
rio: minimizing user interaction in ontology debugging,18
multithreaded graph coloring algorithm for shared memory architecture,5
souper: a synthesizing superoptimizer,2
monotone and online fair division,3
modular autoencoders for ensemble feature extraction,1
soft contract verification,2
super interaction neural network,12
generating nonlinear interpolants by semidefinite programming,4
monoidal functional dependencies,10
mining semistructured data,10
multiauthority attribute-based access control with smart contract,0
shortcut hulls: vertex-restricted outer simplifications of polygons,19
detecting weakly simple polygons,19
on polynomial approximations over $\mathbb{z}/2^k\mathbb{z}$,17
internet protocol version 6: dead or alive?,9
a minimal core calculus for solidity contracts,2
making news understandable to computers,7
axiomatizing rectangular grids with no extra nonunary relations,4
hypernyms under siege: linguistically-motivated artillery for hypernymy detection,6
lookup: vision-only real-time precise underground localisation for autonomous mining vehicles,15
semisupervised active regression,1
partly supervised multitask learning,12
effective multistep temporal-difference learning for nonlinear function approximation,18
subcomputable boundedness randomness,4
enhancing autonomy transparency: an option-centric rationale approach,14
polynomially correlated knapsack is np-complete,17
understanding space in proof complexity: separations and trade-offs via substitutions,17
automating legal research through data mining,7
understanding graph and understanding map and their potential applications,14
subgame solving without common knowledge,3
on nonstructural subtype entailment,2
multidensity sketch-to-image translation network,12
adaptive content-based routing using subscription subgrouping in structured overlays,5
debugging crashes using continuous contrast set mining,13
transforming outermost into context-sensitive rewriting,4
hyperbolic busemann learning with ideal prototypes,1
community-based cyberreading for information understanding,7
view-centric modeling of automotive logical architectures,13
transaction support over redis: an overview,5
multigraph convolution collaborative filtering,7
persistent flows and nonreciprocal interactions in deterministic networks,8
runtime verification over outoforder streams,4
maximizing broadcast throughput under ultralowpower constraints,9
interactive art to go,14
nrmvs: nonrigid multiview stereo,12
malware analysis using multiple api sequence mining control flow graph,0
on $r$-guarding thin orthogonal polygons,19
domain semirings united,4
digital transformation in airport ground operations,16
balancing between overweighting and underweighting in supervised term weighting,7
sidechains and interoperability,0
archaeodal: a data lake for archaeological data management and analytics,10
m2tr: multimodal multiscale transformers for deepfake detection,12
mvsr-nat: multiview subset regularization for nonautoregressive machine translation,6
high-utility itemset mining for subadditive monotone utility functions,10
transforming building industry and health outcomes through social data-supported design,16
explainable outfit recommendation with joint outfit matching and comment generation,7
counting minimal transversals of $\beta$-acyclic hypergraphs,11
software transactional memory with interactions,2
weak bisimulations for labelled transition systems weighted over semirings,4
contrastive learning for recommender system,7
maintaining triangle queries under updates,10
egalitarian resource sharing over multiple rounds,3
hypergraph based database partitioning for transactional workloads,10
motion-compensated autonomous scanning for tumour localisation using intraoperative ultrasound,15
stratified outsourcing theory,13
trigan: image-to-image translation for multisource domain adaptation,12
isomorphic data type transformations,4
document classification using expectation maximization with semi supervised learning,7
caching in multidimensional databases,10
strong duality for a multiplegood monopolist,3
"artificial creations: ascription, ownership, time-specific monopolies",16
function + action = interaction,14
efficient multiagent global navigation using interpolating bridges,15
interval influence diagrams,18
multipletree push-based overlay streaming,9
delaunay triangulation of manifolds,19
the option-critic architecture,18
progressive multigranularity training for nonautoregressive translation,6
automatic recognition of dyslalia affecting pre-scholars,16
maximizing monotone submodular functions over the integer lattice,11
on automata with boundary,5
underwater inspection and intervention dataset,12
optimizing multitask peer prediction,3
multi query optimization in glade,10
a semidecidable procedure for secrecy in cryptographic protocols,0
dihedral angles and orthogonal polyhedra,19
self-paced multitask learning,1
zero-resource translation with multilingual neural machine translation,6
event-triggered transmission for linear control over communication channels,8
a polynomialtime algorithm for median-closed semilinear constraints,17
the polytopecollision problem,17
predatorhp attacks intervalsized regions,13
are gross substitutes a substitute for submodular valuations?,3
fast nonmonotone submodular maximisation subject to a matroid constraint,11
multicut is fpt,11
manipulating multistage interconnection networks using fundamental arrangements,9
polyhedral clinching auctions and the adwords polytope,3
axiomatic attribution for multilinear functions,3
an entropy lower bound for nonmalleable extractors,17
transfer learning-based crack detection by autonomous uavs,15
optimal inapproximability of satisfiable $k$-lin over nonabelian groups,17
outstanding: a multiperspective travel approach for virtual reality games,14
antifragile electronic warfare,9
nonuniform reductions and np-completeness,17
polynomial kernels for weighted problems,17
adaptation of turn protocol to sip protocol,9
largest similar copies of convex polygons amidst polygonal obstacles,19
noncooperative multiagent systems with exploring agents,18
high-quality automated program repair,13
epistemological issues in educational data mining,16
an interpretable music similarity measure based on path interestingness,7
nontruthful position auctions are more robust to misspecification,3
history of malware,0
on absorption in semigroups and $n$-ary semigroups,4
minimal witnesses for probabilistic timed automata,4
proceedings of the 18th international overture workshop,13
nonuniform kolmogorov extractors,17
migrating multipage web applications to single-page ajax interfaces,13
feature graph architectures,1
efficient identity testing and polynomial factorization over nonassociative free rings,17
on various negative translations,4
subitizing with variational autoencoders,12
transtrack: multiple object tracking with transformer,12
pervasive communications technologies for managing pandemics,16
semiautoregressive neural machine translation,6
minimumviolation planning for autonomous systems: theoretical and practical considerations,15
semisupervised wide-angle portraits correction by multiscale transformer,12
query minimization under stochastic uncertainty,11
tight bounds for mis in multichannel radio networks,5
circumscribing polygons and polygonizations for disjoint line segments,19
towards randomized testing of $q$-monomials in multivariate polynomials,17
asymmetric convex intersection testing,19
towards interactive object-oriented programming,2
contrastive learning for sequential recommendation,7
successive subspace learning: an overview,12
hyperservice: interoperability and programmability across heterogeneous blockchains,0
multitier automated planning for adaptive behavior (extended version),18
jam-x: wireless agreement under interference,9
multimodal federated learning,1
remix: automated exploration for interactive outlier detection,18
transpose: keypoint localization via transformer,12
panoswarm: collaborative and synchronized multidevice panoramic photography,14
interlock: an intercorrelated logic and routing locking,0
model-driven architectural monitoring and adaptation for autonomic systems,13
extracting geospatial preferences using relational neighbors,7
3-colorable delaunay triangulations,19
continuous and monotone machines,4
multisensor control for multiobject bayes filters,8
anticounterfeiting for polymer banknotes based on polymer substrate fingerprinting,0
engineering autonomous driving software,13
interference with symbol-misalignment,9
supervisor localization of discrete-event systems under partial observation,8
abstracting definitional interpreters,2
multilayered diagnostics for smart cities,16
circular separability of polygons,19
extracting topics from open educational resources,16
functional brain imaging with multiobjective multimodal evolutionary optimization,18
toward a science of autonomy for physical systems: transportation,16
multiresolution priority queues,11
coupled matrix factorization within noniid context,7
interpretable deep multimodal image superresolution,12
transfer and multitask learning for noun-noun compound interpretation,6
coloured ring confidential transactions,0
novelty detection under multiinstance multilabel framework,1
multimedia satellite networks and tcp/ip traffic transport,9
semiexternal memory sparse matrix multiplication for billion-node graphs,5
semisupervised adversarial monocular depth estimation,12
#foodporn: obesity patterns in culinary interactions,16
amber: automatic supervision for multiattribute extraction,10
hierarchical subtask discovery with nonnegative matrix factorization,18
better quasi-ordered transition systems,4
social internet of things: architectural approaches and challenges,13
evetar: building a large-scale multitask test collection over arabic tweets,7
removing redundant arguments automatically,2
leveraging public-private blockchain interoperability for closed consortium interfacing,5
multifingered active grasp learning,15
minimizing a sum of submodular functions,11
autonomous execution of cinematographic shots with multiple drones,15
on polynomial time computable numbers,17
observationally cooperative multithreading,2
abstract interpretation as antirefinement,2
supervisor localization for large-scale discrete-event systems under partial observation,8
reputation (in)dependence in ranking systems: demographics influence over output disparities,7
multimodal transformer for unaligned multimodal language sequences,6
formalizing cyber--physical system model transformation via abstract interpretation,8
interpreting interpretations: organizing attribution methods by criteria,18
comprehensive multiparty session types,2
interference allocation scheduler for green multimedia delivery,9
oblivious transfer protocol with verification,0
weighted pcl over product valuation monoids,4
a noncooperative multiple access game for timely updates,3
multilingual multidomain adaptation approaches for neural machine translation,6
interface between market and science,14
socially-aware self-supervised tritraining for recommendation,7
efficient computation of visibility polygons,19
randomized polynomial time identity testing for noncommutative circuits,17
pangea: monolithic distributed storage for data analytics,5
space-bounded kolmogorov extractors,17
towards the adoption of antispoofing protocols,0
streaming multicast video over software-defined networks,9
pattern based adaptive architecture for internet banking,13
multilingual word embeddings using multigraphs,6
mohcs: towards mining overlapping highly connected subgraphs,5
tensor network subspace identification of polynomial state space models,8
polyppvt: polyp segmentation with pyramid vision transformers,12
computing bottleneck distance for multiparameter interval decomposable persistence modules,19
transductive ordinal regression,1
adha: automatic data layout framework for heterogeneous architectures,5
semiautomated protocol disambiguation and code generation,9
gtirb: intermediate representation for binaries,2
monotonic calibrated interpolated look-up tables,1
a new model for interference analysis in asynchronous multicarrier transmission,9
workload-aware automatic parallelization for multigpu dnn training,5
distributed multitask formation control under parametric communication uncertainties,8
minimum convex partitions and maximum empty polytopes,19
the next 700 program transformers,2
the bufferbloat problem over intermittent multigbps mmwave links,9
bounds on multiple sensor fusion,8
stretching multiring paxos,5
solving wcsp by extraction of minimal unsatisfiable cores,18
cross-dataset design discussion mining,13
business process mining,13
combinatorial multiobjective multiarmed bandit problem,1
interval scheduling maximizing minimum coverage,11
modeling representation of minorities under multiwinner voting rules,3
large margin semisupervised structured output learning,1
"polynomial threshold functions: structure, approximation and pseudorandomness",17
global optimal power flow over large-scale power transmission network,8
transreid: transformerbased object re-identification,12
self-supervised transformer for multivariate clinical time-series with missing values,1
sorting-based interactive regret minimization,10
algorithmic meta-theorems for monotone submodular maximization,11
dynamic intransitive noninterference revisited,0
on termination of transactions over semantic document models,4
multiview supervision by registration,12
an optimal bidimensional multiarmed bandit auction for multiunit procurement,3
userbert: contrastive user model pre-training,7
recurrence for pandimensional space-filling functions,19
transition watchpoints: teaching old debuggers new tricks,2
full-resilient memory-optimum multiparty noninteractive key exchange,0
multitopic multidocument summarizer,6
modular remote communication protocol interpreters,13
symmetric submodular function minimization under hereditary family constraints,11
metric-distortion bounds under limited information,3
contract agreements via logic,4
multimodal graph-based transformer framework for biomedical relation extraction,6
deep multimodality model for multitask multiview learning,12
understanding electricity-theft behavior via multisource data,16
largest triangles in a polygon,19
srwarp: generalized image superresolution under arbitrary transformation,12
a control architecture for provably-correct autonomous driving,15
probabilistic logic programming under inheritance with overriding,18
covid-19 pandemic outbreak in the subcontinent: a data-driven analysis,16
sparse recovery for orthogonal polynomial transforms,11
fractal: automated application scaling,5
taxthemis: interactive mining and exploration of suspicious tax evasion group,14
aggregations over generalized hypertree decompositions,10
hyperbolic intersection graphs and (quasi)-polynomial time,19
contrastive multimodal fusion with tupleinfonce,12
use cases and outlooks for automatic analytics,14
self-assemble-featured internet of things,13
under the underground: predicting private interactions in underground forums,0
towards autotuning of openmp applications on multicore architectures,5
distributed subgraph detection,5
weakening assumptions for deterministic subexponential time nonsingular matrix completion,17
on approximations to minimum link visibility paths in simple polygons,19
constructing active architectures in the archware adl,13
on sharing private data with multiple noncolluding adversaries,10
stochastic timed automata,4
analyzing and disentangling interleaved interruptdriven iot programs,13
why just boogie? translating between intermediate verification languages,4
an educative brain-computer interface,14
noise tolerance under risk minimization,1
icann and antitrust,16
substructural observed communication semantics,2
multisource neural machine translation with missing data,6
belief dynamics extraction,18
content-aware automated parameter tuning for approximate color transforms,14
helly numbers of polyominoes,19
verifiable smart contract portability,5
component based solutions under architecture,13
multimodal subjective context modelling and recognition,18
robust transport over networks,8
disentangled sequential autoencoder,1
neo: a learned query optimizer,10
web mining techniques in e-commerce applications,7
socially-aware navigation: a nonlinear multiobjective optimization approach,15
mistral supercomputer job history analysis,5
